"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"Flexential Dallas - Downtown Data Center","Dallas","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","4.03"
"365 Data Centers - Dallas","Dallas","365 Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","2.57"
"Windstream Dallas","Dallas","Windstream","138","ONCOR ELECTRIC DELIVERY CO.","2.54"
"LOGIX Dallas #1","Dallas","LOGIX FIBER NETWORKS","138","ONCOR ELECTRIC DELIVERY CO.","2.54"
"Synoptek - Dallas Data Center","Dallas","Synoptek","138","ONCOR ELECTRIC DELIVERY CO.","2.54"
"TPx Dallas Data Center","Dallas","TPx Communications","138","ONCOR ELECTRIC DELIVERY CO.","2.27"
"IBM DAL01","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","4.10"
"IBM DAL02/06","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","2.98"
"STACK Infrastructure","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","4.03"
"IBM DAL04","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","1.50"
"Lumen Dallas 4","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","1.49"
"Lumen Dallas 3","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","1.62"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","7.49"
"NocRoom Dallas Colocation and VPS","Dallas","NocRoom Miami Colocation VPS","138","ONCOR ELECTRIC DELIVERY CO.","8.03"
"Lunavi Dallas","Dallas","Lunavi","138","ONCOR ELECTRIC DELIVERY CO.","4.09"
"LOGIX Dallas #2","Dallas","LOGIX FIBER NETWORKS","138","ONCOR ELECTRIC DELIVERY CO.","2.59"
"ATOS Dallas Data Center","Dallas","Atos Group","138","ONCOR ELECTRIC DELIVERY CO.","2.57"
"Prime Dallas Data Center Campus","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","8.25"
"Equinix DA1","Dallas","Equinix DA1 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","1.60"
"Equinix DA6","Dallas","Equinix DA6 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","1.67"
"CoreSpace Dallas Data Center","Dallas","Cummins Gen","138","ONCOR ELECTRIC DELIVERY CO.","6.41"
"DataBank DFW1 - Downtown Dallas","Dallas","DFW1 datasheet.pdf","138","ONCOR ELECTRIC DELIVERY CO.","1.71"
"Equinix DA2","Dallas","Equinix DA2 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","1.60"
"Equinix DA11","Dallas","Equinix DA11 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","1.71"
"Prime Dallas - Data Center 1","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","8.21"
"TierPoint Dallas","Dallas","TierPoint","138","ONCOR ELECTRIC DELIVERY CO.","4.62"
"Prime Dallas - Data Center 2","Dallas","Prime Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.21"
"Equinix DA3","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","1.60"
"Cogent Data Center - Dallas","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","1.70"
"DataBank DFW5 - Dallas Infomart","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","1.62"
"Provision Data Services","Dallas","Provision Data Services","138","ONCOR ELECTRIC DELIVERY CO.","1.81"
"DataBank DFW6 - Dallas Love Field","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","7.41"
"Infomart Dallas","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","1.61"
"DataBank DFW4 - Dallas Empire","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","6.72"
"ColoCrossing DFW1","Dallas","ColoCrossing","138","ONCOR ELECTRIC DELIVERY CO.","4.60"
"Equinix DA4","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","1.83"
"Cogent Data Center - Irving","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","9.92"
"ServerMania Dallas Data Center","Dallas","ServerMania Inc","138","ONCOR ELECTRIC DELIVERY CO.","4.58"
"Epic.io Dallas Data Center","Dallas","Epic.io","138","ONCOR ELECTRIC DELIVERY CO.","7.34"
"Tier.Net Dallas Data Center","Dallas","TierNet","138","ONCOR ELECTRIC DELIVERY CO.","8.22"
"Cogent Data Center - Dallas 2","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","0.41"
"Consolidated Dallas","Dallas","Consolidated Communications","138","ONCOR ELECTRIC DELIVERY CO.","1.71"
"Wowrack Dallas","Dallas","Wowrack","138","ONCOR ELECTRIC DELIVERY CO.","5.23"
"Psychz Dallas","Dallas","Psychz Networks","138","ONCOR ELECTRIC DELIVERY CO.","8.21"
"DataBank - 2323 Bryan St","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","1.83"
"Lumen Dallas 2","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.56"
"Data Canopy - Dallas","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.24"
"2323 Bryan Street (DFW10)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.83"
"8435 Stemmons Freeway (DFW36)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","7.11"
"Cologix DAL1","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","1.56"
"Cologix DAL2","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","1.60"
"Cologix DAL3","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","1.60"
"Flexential Dallas - Downtown Data Center","Dallas","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","1.56"
"Hivelocity - Dallas 1","Dallas","Hivelocity","138","ONCOR ELECTRIC DELIVERY CO.","8.21"
"365 Data Centers - Dallas","Dallas","365 Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.83"
"Windstream Dallas","Dallas","Windstream","138","ONCOR ELECTRIC DELIVERY CO.","1.72"
"LOGIX Dallas #1","Dallas","LOGIX FIBER NETWORKS","138","ONCOR ELECTRIC DELIVERY CO.","1.84"
"Synoptek - Dallas Data Center","Dallas","Synoptek","138","ONCOR ELECTRIC DELIVERY CO.","1.84"
"TPx Dallas Data Center","Dallas","TPx Communications","138","ONCOR ELECTRIC DELIVERY CO.","1.46"
"IBM DAL01","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","1.62"
"IBM DAL02/06","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","0.51"
"STACK Infrastructure","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","1.56"
"IBM DAL04","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","1.74"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","7.98"
"Lumen Dallas 4","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","1.73"
"Lumen Dallas 3","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","1.32"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","5.47"
"NocRoom Dallas Colocation and VPS","Dallas","NocRoom Miami Colocation VPS","138","ONCOR ELECTRIC DELIVERY CO.","6.05"
"Lunavi Dallas","Dallas","Lunavi","138","ONCOR ELECTRIC DELIVERY CO.","1.62"
"LOGIX Dallas #2","Dallas","LOGIX FIBER NETWORKS","138","ONCOR ELECTRIC DELIVERY CO.","3.14"
"ATOS Dallas Data Center","Dallas","Atos Group","138","ONCOR ELECTRIC DELIVERY CO.","1.83"
"1001 Texas Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.87"
"Netrality - 1301 Fannin","Harris","Netrality Houston - Data Sheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.41"
"DataBank HOU5 - Houston Galleria","Harris","HOU5 datasheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.43"
"Quasar Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.87"
"Crown Castle Houston (TX1)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.91"
"LOGIX Houston #2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.86"
"24 Hour Data Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.70"
"Verizon Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.68"
"Energy Transfer Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.48"
"Lumen Houston 3","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.60"
"LOGIX Houston #3","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.17"
"Evocative - INAP Houston","Harris","Evocative Data Centers","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.36"
"IBM HOU04","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.34"
"Lumen, 1124 Hardy Rd","Harris","Lumen","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.36"
"NaviSite Houston","Harris","NaviSite, Inc.","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.36"
"TeleSource IDC","Harris","TeleSource Communications Inc.","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","0.36"
"Equinix DA1","Dallas","Equinix DA1 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","4.95"
"Equinix DA6","Dallas","Equinix DA6 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","4.94"
"CoreSpace Dallas Data Center","Dallas","Cummins Gen","138","ONCOR ELECTRIC DELIVERY CO.","9.76"
"DataBank DFW1 - Downtown Dallas","Dallas","DFW1 datasheet.pdf","138","ONCOR ELECTRIC DELIVERY CO.","4.86"
"Equinix DA2","Dallas","Equinix DA2 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","4.95"
"Equinix DA11","Dallas","Equinix DA11 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","5.08"
"TierPoint Dallas","Dallas","TierPoint","138","ONCOR ELECTRIC DELIVERY CO.","8.28"
"Equinix DA3","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","4.95"
"Cogent Data Center - Dallas","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","4.87"
"DataBank DFW5 - Dallas Infomart","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","4.96"
"Provision Data Services","Dallas","Provision Data Services","138","ONCOR ELECTRIC DELIVERY CO.","4.12"
"DataBank DFW7 - Dallas LBJ","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","9.32"
"DataBank DFW6 - Dallas Love Field","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","9.03"
"Infomart Dallas","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","4.95"
"DataBank DFW4 - Dallas Empire","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","9.84"
"ColoCrossing DFW1","Dallas","ColoCrossing","138","ONCOR ELECTRIC DELIVERY CO.","8.31"
"Equinix DA4","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","3.80"
"ServerMania Dallas Data Center","Dallas","ServerMania Inc","138","ONCOR ELECTRIC DELIVERY CO.","8.28"
"Epic.io Dallas Data Center","Dallas","Epic.io","138","ONCOR ELECTRIC DELIVERY CO.","9.48"
"Cogent Data Center - Dallas 2","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","5.72"
"Consolidated Dallas","Dallas","Consolidated Communications","138","ONCOR ELECTRIC DELIVERY CO.","4.87"
"Wowrack Dallas","Dallas","Wowrack","138","ONCOR ELECTRIC DELIVERY CO.","9.10"
"DataBank - 2323 Bryan St","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","3.80"
"Lumen Dallas 2","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","4.97"
"Data Canopy - Dallas","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","4.29"
"2323 Bryan Street (DFW10)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","3.81"
"8435 Stemmons Freeway (DFW36)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","9.92"
"H5Colo  Inc.","Dallas","H5 Colo Inc.","138","ONCOR ELECTRIC DELIVERY CO.","8.97"
"Cologix DAL1","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","5.09"
"Cologix DAL2","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","4.95"
"Cologix DAL3","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","4.95"
"Flexential Dallas - Downtown Data Center","Dallas","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","5.09"
"365 Data Centers - Dallas","Dallas","365 Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","3.81"
"Windstream Dallas","Dallas","Windstream","138","ONCOR ELECTRIC DELIVERY CO.","3.86"
"LOGIX Dallas #1","Dallas","LOGIX FIBER NETWORKS","138","ONCOR ELECTRIC DELIVERY CO.","3.83"
"Synoptek - Dallas Data Center","Dallas","Synoptek","138","ONCOR ELECTRIC DELIVERY CO.","3.83"
"TPx Dallas Data Center","Dallas","TPx Communications","138","ONCOR ELECTRIC DELIVERY CO.","4.18"
"IBM DAL01","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","4.95"
"IBM DAL02/06","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","5.02"
"STACK Infrastructure","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","5.09"
"IBM DAL04","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","4.84"
"Lumen Dallas 4","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","4.85"
"Lumen Dallas 3","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","4.86"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","9.30"
"NocRoom Dallas Colocation and VPS","Dallas","NocRoom Miami Colocation VPS","138","ONCOR ELECTRIC DELIVERY CO.","9.87"
"Lunavi Dallas","Dallas","Lunavi","138","ONCOR ELECTRIC DELIVERY CO.","4.96"
"LOGIX Dallas #2","Dallas","LOGIX FIBER NETWORKS","138","ONCOR ELECTRIC DELIVERY CO.","3.80"
"ATOS Dallas Data Center","Dallas","Atos Group","138","ONCOR ELECTRIC DELIVERY CO.","3.80"
"Lighthouse Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.43"
"DataBank HOU5 - Houston Galleria","Harris","HOU5 datasheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","4.88"
"Data Foundry - Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.60"
"Verizon Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.20"
"Energy Transfer Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.56"
"LOGIX Houston #3","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.04"
"Core Scientific Denton","Denton","Core Scientific","345","COOKE COUNTY ELEC COOP ASSN","0.92"
"San Antonio Data Center","Bexar","Five 9s Digital, LLC","345","GUADALUPE VALLEY ELEC COOP INC","7.42"
"Lumen San Antonio 3","Bexar","Lumen","345","GUADALUPE VALLEY ELEC COOP INC","9.98"
"CyrusOne DFW1 - Carrollton","Denton","DFW1 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","1.08"
"CyrusOne DFW2 - Lewsiville","Denton","DFW2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","3.93"
"VAZATA Dallas I","Denton","VAZATA","138","ONCOR ELECTRIC DELIVERY CO.","9.67"
"Serverphase Data Center","Dallas","M&A Technology Inc.","138","ONCOR ELECTRIC DELIVERY CO.","8.97"
"VAZATA Dallas II","Dallas","VAZATA","138","ONCOR ELECTRIC DELIVERY CO.","7.97"
"4025 Midway Rd (DFW11)","Denton","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","9.70"
"2440 Marsh Lane (DFW12)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","7.96"
"2501 S. State Highway 121 (DFW26)","Denton","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","5.36"
"ColoHouse Dallas","Denton","ColoHouse","138","ONCOR ELECTRIC DELIVERY CO.","1.13"
"LightEdge - Dallas","Denton","LightEdge","138","ONCOR ELECTRIC DELIVERY CO.","4.09"
"Comcast Willis","Montgomery","Follow on LinkedIn","138","ENTERGY TEXAS, INC.","3.82"
"TRG Houston Data Center","Harris","TRG vs Cyrus One vs Data Foundry.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.46"
"12231 North Fwy (IAH13)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.66"
"12235 North Fwy (IAH14)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.46"
"12061 North Freeway (IAH11)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.60"
"Digital Houston Campus","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.62"
"12001 North Fwy (IAH10)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.77"
"Stream DC Houston I - The Woodlands","Montgomery","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.43"
"Data Foundry- Houston 2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.37"
"Cogent Data Center - Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.48"
"FIBERTOWN - Houston, Texas","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.57"
"Serverfarm Houston Data Center CTX2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.67"
"Lumen Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.20"
"Serverfarm Houston Data Center CTX1","Harris","Serverfarm","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.67"
"IBM HOU00","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.67"
"IBM HOU02","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.72"
"IBM HOU01","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.92"
"Duos Edge AI - Victoria EDC","Victoria","Duos Edge AI, Inc.","345","AEP TEXAS CENTRAL COMPANY","6.23"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","8.85"
"Prime Dallas Data Center Campus","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.67"
"Equinix DA1","Dallas","Equinix DA1 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","8.49"
"Equinix DA6","Dallas","Equinix DA6 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","8.44"
"CoreSpace Dallas Data Center","Dallas","Cummins Gen","138","ONCOR ELECTRIC DELIVERY CO.","3.96"
"Centersquare - Dallas DFW3-A","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","5.48"
"Alpha Data Center","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","9.28"
"Equinix DA2","Dallas","Equinix DA2 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","8.49"
"Equinix DA11","Dallas","Equinix DA11 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","8.33"
"Prime Dallas - Data Center 1","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.70"
"TierPoint Dallas","Dallas","TierPoint","138","ONCOR ELECTRIC DELIVERY CO.","5.51"
"Prime Dallas - Data Center 2","Dallas","Prime Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.70"
"Equinix DA3","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","8.49"
"DataBank DFW5 - Dallas Infomart","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","8.47"
"DataBank DFW6 - Dallas Love Field","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","2.54"
"Infomart Dallas","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","8.48"
"Edged Dallas-Fort Worth DFW01","Dallas","Edged Energy","138","ONCOR ELECTRIC DELIVERY CO.","4.63"
"DataBank DFW4 - Dallas Empire","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","3.50"
"ColoCrossing DFW1","Dallas","ColoCrossing","138","ONCOR ELECTRIC DELIVERY CO.","5.56"
"Equinix DA9","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","3.21"
"Cogent Data Center - Irving","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","2.78"
"ServerMania Dallas Data Center","Dallas","ServerMania Inc","138","ONCOR ELECTRIC DELIVERY CO.","5.56"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.24"
"Neutron Data Center","Dallas","M&A Technology Inc.","138","ONCOR ELECTRIC DELIVERY CO.","9.31"
"Epic.io Dallas Data Center","Dallas","Epic.io","138","ONCOR ELECTRIC DELIVERY CO.","2.53"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.25"
"Tier.Net Dallas Data Center","Dallas","TierNet","138","ONCOR ELECTRIC DELIVERY CO.","1.69"
"Cogent Data Center - Dallas 2","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","9.92"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.01"
"Wowrack Dallas","Dallas","Wowrack","138","ONCOR ELECTRIC DELIVERY CO.","5.31"
"Psychz Dallas","Dallas","Psychz Networks","138","ONCOR ELECTRIC DELIVERY CO.","1.69"
"Lumen Dallas 2","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","8.52"
"8435 Stemmons Freeway (DFW36)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","2.92"
"Cologix DAL1","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","8.46"
"Cologix DAL2","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","8.49"
"Cologix DAL3","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","8.49"
"Flexential Dallas - Downtown Data Center","Dallas","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","8.46"
"4849 Alpha Road (DFW14)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","9.69"
"Hivelocity - Dallas 1","Dallas","Hivelocity","138","ONCOR ELECTRIC DELIVERY CO.","1.69"
"IBM DAL01","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","8.47"
"IBM DAL02/06","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","9.46"
"PowerHouse Irving - Building A","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.97"
"PowerHouse Irving - Building C","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.25"
"PowerHouse Irving - Building B","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.11"
"STACK Infrastructure","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","8.46"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","2.51"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.96"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.96"
"IBM DAL05","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","9.69"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","5.13"
"PowerHouse Irving Campus","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.19"
"NocRoom Dallas Colocation and VPS","Dallas","NocRoom Miami Colocation VPS","138","ONCOR ELECTRIC DELIVERY CO.","4.83"
"Lunavi Dallas","Dallas","Lunavi","138","ONCOR ELECTRIC DELIVERY CO.","8.47"
"Eonix Communications Dallas","Dallas","Eonix Communications Inc","138","ONCOR ELECTRIC DELIVERY CO.","2.09"
"Amazon AWS SAT - 12807 Donop","Bexar","Amazon AWS","138","BANDERA ELECTRIC COOP, INC","6.89"
"CityNAP","Bexar","CityNAP","138","BANDERA ELECTRIC COOP, INC","2.33"
"Windstream San Antonio","Bexar","Windstream","138","BANDERA ELECTRIC COOP, INC","1.74"
"Lumen San Antonio 2","Bexar","Lumen","138","BANDERA ELECTRIC COOP, INC","3.91"
"H5 Data Centers San Antonio","Bexar","H5 Data Centers","138","BANDERA ELECTRIC COOP, INC","2.04"
"San Antonio Data Center","Bexar","Five 9s Digital, LLC","345","BANDERA ELECTRIC COOP, INC","4.81"
"Amazon AWS SAT - 12807 Donop","Bexar","Amazon AWS","345","BANDERA ELECTRIC COOP, INC","7.22"
"Lumen San Antonio 3","Bexar","Lumen","345","BANDERA ELECTRIC COOP, INC","9.98"
"Lumen San Antonio 1","Bexar","Lumen","345","BANDERA ELECTRIC COOP, INC","5.80"
"Lighthouse Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.40"
"DataBank HOU5 - Houston Galleria","Harris","HOU5 datasheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","3.80"
"Data Foundry - Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.90"
"Verizon Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.45"
"LOGIX Houston #3","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.98"
"Lumen, 3939 Corporate Dr","Harris","Lumen","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.35"
"STACK Infrastructure DFW02 Campus","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","9.08"
"STACK Infrastructure DFW02E","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","9.08"
