"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"DataNovaX Pioneer Park","Wichita","DataNovaX","138","ONCOR ELECTRIC DELIVERY CO.","2.49"
"Lumen Wichita Falls 1","Wichita","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","7.01"
"Lumen Stratford 1","Wichita","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","5.83"
"CyrusOne DFW1 - Carrollton","Denton","DFW1 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","4.87"
"CyrusOne DFW2 - Lewsiville","Denton","DFW2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","2.91"
"2501 S. State Highway 121 (DFW26)","Denton","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","5.37"
"ColoHouse Dallas","Denton","ColoHouse","138","ONCOR ELECTRIC DELIVERY CO.","5.14"
"LightEdge - Dallas","Denton","LightEdge","138","ONCOR ELECTRIC DELIVERY CO.","3.04"
"CyrusOne DFW1 - Carrollton","Denton","DFW1 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","7.86"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","9.36"
"CyrusOne DFW2 - Lewsiville","Denton","DFW2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","3.36"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.89"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.88"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.14"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.05"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.05"
"ColoHouse Dallas","Denton","ColoHouse","138","ONCOR ELECTRIC DELIVERY CO.","7.92"
"LightEdge - Dallas","Denton","LightEdge","138","ONCOR ELECTRIC DELIVERY CO.","3.21"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","8.66"
"CyrusOne DFW2 - Lewsiville","Denton","DFW2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","9.60"
