,period,plantid,plantName,balancing-authority-name,entityid,entityName,county,geometry,Solar Region,Wind Region,nameplate-capacity-mw,net-summer-capacity-mw,net-winter-capacity-mw,Coal_gen_total,Distillate Fuel Oil_gen_total,Hydroelectric Conventional_gen_total,Municiapl Landfill Gas_gen_total,Natural Gas_gen_total,Nuclear_gen_total,Other_gen_total,Other Gases_gen_total,Petroleum Coke_gen_total,Residual Fuel Oil_gen_total,Solar_gen_total,Waste Oil and Other Oils_gen_total,Wind_gen_total,Wood Waste Solids_gen_total,other renewables_gen_total,total_generation,Coal_gen_pct,Distillate Fuel Oil_gen_pct,Hydroelectric Conventional_gen_pct,Municiapl Landfill Gas_gen_pct,Natural Gas_gen_pct,Nuclear_gen_pct,Other_gen_pct,Other Gases_gen_pct,Petroleum Coke_gen_pct,Residual Fuel Oil_gen_pct,Solar_gen_pct,Waste Oil and Other Oils_gen_pct,Wind_gen_pct,Wood Waste Solids_gen_pct,other renewables_gen_pct
25,2022-07,3464,Greens Bayou,"Electric Reliability Council of Texas, Inc.",54888,NRG Texas Power LLC,Harris,POINT (-95.219429 29.822201),FarEast,South,15984.0,12105.0,14616.0,0.0,0.0,0.0,0.0,142113.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142113.64,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2022-07,3469,T H Wharton,"Electric Reliability Council of Texas, Inc.",54888,NRG Texas Power LLC,Harris,POINT (-95.5306 29.9417),FarEast,South,44026.3,37092.0,43832.0,0.0,0.0,0.0,0.0,620934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620934.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2022-07,3470,W A Parish,"Electric Reliability Council of Texas, Inc.",54888,NRG Texas Power LLC,Fort Bend,POINT (-95.6311 29.4828),FarEast,South,148310.8,135032.0,136065.0,2168074.36,0.0,0.0,0.0,683649.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851724.0,76.02679501943386,0.0,0.0,0.0,23.973204980566145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2022-07,3476,Knox Lee,Southwest Power Pool,17698,Southwestern Electric Power Co,Gregg,POINT (-94.6415 32.3766),FarEast,North,12987.0,12654.0,12876.0,0.0,0.0,0.0,0.0,130838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130838.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2022-07,3478,Wilkes,Southwest Power Pool,17698,Southwestern Electric Power Co,Marion,POINT (-94.547986 32.848163),FarEast,North,32634.0,32671.0,33337.0,0.0,0.0,0.0,0.0,380874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380874.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2022-07,3482,Jones,Southwest Power Pool,17718,Southwestern Public Service Co,Lubbock,POINT (-101.7392 33.5239),NorthWest,Panhandle,31834.8,30340.0,31524.0,0.0,0.0,0.0,0.0,449788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449788.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2022-07,3484,Nichols,Southwest Power Pool,17718,Southwestern Public Service Co,Potter,POINT (-101.746423 35.283357),NorthWest,Panhandle,17563.9,16909.0,16909.0,0.0,0.0,0.0,0.0,220204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220204.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2022-07,3485,Plant X,Southwest Power Pool,17718,Southwestern Public Service Co,Lamb,POINT (-102.4114 34.1661),NorthWest,Panhandle,10162.8,9799.0,9799.0,0.0,0.0,0.0,0.0,159332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159332.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2022-07,3490,Graham,"Electric Reliability Council of Texas, Inc.",55983,Luminant Generation Company LLC,Young,POINT (-98.6117 33.1344),CenterEast,West,23483.9,23273.0,23273.0,0.0,0.0,0.0,0.0,119398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119398.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2022-07,3491,Handley,"Electric Reliability Council of Texas, Inc.",6035,"Constellation Power, Inc",Tarrant,POINT (-97.2192 32.7283),CenterEast,North,48647.6,46185.0,46185.0,0.0,0.0,0.0,0.0,562568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562568.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2022-07,3492,Morgan Creek,"Electric Reliability Council of Texas, Inc.",55983,Luminant Generation Company LLC,Mitchell,POINT (-100.9156 32.3358),CenterWest,West,19846.8,14689.0,17945.0,0.0,2734.8,0.0,0.0,774.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.7000000000003,0.0,77.92118984528592,0.0,0.0,22.078810154714077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
